,id,assets,liabilities,buffer,weights,impaired_loans_divide_by_gross_customer_loans_advances,loan_loss_reserves_divide_by_impaired_loans,customer_loans_advances_divide_by_total_assets,net_charge_offs_divide_by_average_gross_customer_loans_advances,unreserved_impaired_loans_divide_by_equity,credit rank
13735,23736,0.013246,0.011313,50.17,51.194559,3.509078238,813.5531165,55.45,0.26,-1.33,D++
13736,23737,0.183771,0.171265,16.69,18.045036,3.530263634,768.1135048,71.75,0.52,-7.47,D+
13737,23738,1.52052,1.397294,61.95,65.867814,3.509822239,723.3965765,45.98,0.19,-3.24,D++
13738,23739,0.125109,0.11043,21.78,23.015539,0.417,87.288,19.619,0.063,-0.151,C-
13739,23740,0.015706,0.013597,12.08,13.109303,3.574675431,696.0572525,27.82,0.29,-0.94,C--
13740,23741,0.005687,0.004868,87.95,88.960555,3.589714989,762.8064922,22.56,1.78,-2.21,C--
13741,23742,0.17016,0.15529,19.15,20.47545,0.618,1116.061,33.357,0.268,-5.031,C--
13742,23743,6.650722,6.151591,47.49,61.292313,3.26,51.6,48.1,0.09,10.28,D++
13743,23744,0.011176,0.007942,89.27,90.289118,3.582828477,657.3995827,34.4,0.17,-0.17,C--
13744,23745,0.222238,0.203983,34.06,35.486221,3.19,51.72,59.74,1.27,11.4,D++
13745,23746,0.023012,0.020311,71.24,72.283323,3.627079047,727.4991718,30.83,0.06,-0.34,C--
13746,23747,1.010799,0.912916,35.41,38.333715,15.31,100.27,96.57,1.709,-0.37,D
13747,23748,0.007905,0.007053,86.48,87.494958,3.643066312,651.8601415,30.89,0.45,-4.59,C--
13748,23749,0.353547,0.308988,31.54,33.202535,3.530454608,792.2196813,69.57,0.46,-6.67,D+
13749,23750,0.133946,0.117533,9.34,10.591479,0.14,383.67,52.98,0.0,-2.7,D++
13750,23751,0.663852,0.593693,22.09,24.347545,0.298,187.204,43.039,0.037,-1.851,D++
13751,23752,0.52457,0.433195,23.37,25.327765,2.25,32.33,61.31,-0.26,5.39,D++
13752,23753,0.015893,0.013832,72.87,73.899725,3.531534209,739.2386529,44.83,0.2,-0.39,D++
13753,23754,0.755675,0.672736,106.16,108.588411,1.559,105.843,3.92,0.283344349,-1.46,C-
13754,23755,0.001624,0.001106,92.57,93.57273,3.549518431,690.6580917,35.35,0.82,-0.79,C--
13755,23756,0.627973,0.544453,29.66,31.832426,1.56,62.95,67.04,0.46,2.94,D+
13756,23757,0.010506,0.009755,39.56,40.580261,3.538453837,821.3126476,56.45,0.57,-6.01,D++
13757,23758,2.365267,1.885614,38.43,43.680881,3.39,89.26,66.03,0.21,3.01,D+
13758,23759,0.271496,0.242044,50.54,52.05354,1.2,136.95,72.1,0.32,-3.43,D+
13759,23760,0.133958,0.115551,70.77,72.019509,3.549935976,689.2763537,39.28,0.16,-1.4,C--
13760,23761,4.942405,4.485746,12.02,22.448151,1.64,36.13,84.13,0.0,9.6,D
13761,23762,0.497459,0.443265,9.42,11.360724,3.597629437,757.8044324,85.79,0.48,-6.68,D
13762,23763,0.161759,0.148217,15.38,16.689976,3.526733429,789.536306,40.69,0.28,-1.56,C--
13763,23764,0.109199,0.099155,61.56,62.768354,3.537338113,673.5607499,44.54,0.67,-4.67,D++
13764,23765,7.83812,7.270752,4.05,20.158872,2.26,69.1,73.81,0.12,7.24,D+
13765,23766,0.132834,0.118393,15.98,17.231227,3.528797551,856.5018654,58.11,0.33,-3.91,D++
13766,23767,0.132766,0.12297,64.85,66.105736,2.48,153.54,16.94,0.01,-1.97,C-
13767,23768,14.567644,13.046712,41.1,69.714356,1.69,235.32,56.06,0.284788232,-12.76,D++
