id,impaired_loans_divide_by_gross_customer_loans_advances,loan_loss_reserves_divide_by_impaired_loans,customer_loans_advances_divide_by_total_assets,net_charge_offs_divide_by_average_gross_customer_loans_advances,unreserved_impaired_loans_divide_by_equity,credit rank
20628,15.55,50.59,47.36,-0.11,25.8,C
20629,2.79,57.09,48.73,0.13,4.79,C
20630,2.56,104.15,73.16,-0.81,-1.27,C-
20631,3.571783721,756.218853,76.08,0.23,-7.21,C-
20632,3.538294115,779.6097031,62.93,0.13,-2.14,C-
20633,3.571377855,660.5301246,28.82,0.47,-1.73,C+
20634,3.550841172,650.9918155,18.36,0,-0.52,C++
20635,3.576985507,689.3065456,39.27,0.73,-5.87,C+
20636,3.581622846,741.8671049,63.29,0.22,-8.61,C-
20637,1.04,62.85,59.98,0.09,1.76,C-
20638,1.208,55.42,33.78,-0.052,-4.434,C+
20639,6.85,49.131,47.901,0,32.592,C
20640,3.526750659,748.8809623,45.45,0.58,-1.34,C
20641,3.60516981,908.852022,56.88,0.01,-0.59,C
20642,1.61,86.88,74.33,0,1.71,C-
20643,0.02,99.35,69.73,0.013,0,C-
20644,3.655325313,841.7722554,75.1,0.02,-2.27,C-
20645,0.56,257.78,52.87,0.39,-4.13,C
20646,10.24,69,59.55,0.25377118,13.72,C-
20647,7.02,126.45,63.37,0.262386438,-14.81,C-
20648,0,1772.552,33.97,0.01,-3.93,C+
20649,1.528,17.844,51.478,-0.005,8.058,C
20650,2.53,114.87,59.34,0.37,-1.3,C-
20651,1.01,94.46,59.74,0.02,0.25,C-
20652,0.13,1112.33,69.43,-0.07,-7.43,C-
20653,0,179.901,53.81,-0.37,-10.05,C
20654,5.07,185.03,73.01,0.321836914,-22,C-
20655,3.682281358,667.541313,32.53,0.14,-8.78,C+
20656,5.637,16.169,36.419,0,21.005,C+
20657,21.057,46.927,32.657,0.043,1.147,C+
20658,3.518987937,804.8874985,65,0.18,-2.94,C-
20659,1.93,82.82,64.04,-0.14,1.81,C-
20660,3.55108676,698.1941246,38.97,0.33,-2.42,C+
20661,1.68,140.67,53.81,0.96,-5.69,C
20662,1.023,1087.726,60.283,0.117,-1.831,C-
20663,1.29,220.63,61.36,0.07,-8.8,C-
20664,3.534681682,980.7249361,85.27,0.29926897,8.976483641,C--
20665,0.12,1842.13,90.4,1.24,-14.12,C--
20666,2.14,193.99,64.1,5.59,-14.72,C-
20667,0.56,280.29,71.5,0.51,-8.29,C-
20668,78.37,54.71,64.48,2.141,-26.08,C-
20669,0.11,812.44,66.42,0,-4.98,C-
20670,5.46,13746.503,30.23,-0.003,-3.205,C+
20671,3.59821019,775.4470922,57.27,0.249525614,7.388957635,C
20672,3.601029598,787.869615,85.25,0.27,-6.07,C--
20673,3.64246182,694.4143255,21.96,0,-6.24,C+
20674,3.585818183,672.3810608,17.541,0.175,-0.472,C++
20675,6.895,29.598,45.383,0.01,57.463,C
20676,3.645292108,955.2555135,71.28,0.06,-6.06,C-
20677,3.565773402,679.5410454,34.42,0.55,-2.19,C+
20678,3.639213117,797.2109718,75.62,0.08,-3.21,C-
20679,3.577778468,635.9822953,10.73,0,-2.41,C++
20680,0.08,1260.26,75.91,0,-7.98,C-
20681,10.55,84.09,44.46,-0.13,9.05,C
20682,3.507801946,784.2284429,40.3,0.39,-1.71,C
20683,3.550617655,701.4616814,38.8,0.47,-1.2,C+
20684,3.583662125,641.9732746,30.56,0.72,-3.5,C+
20685,0.845,120.578,49.66,-0.08,-24.15,C
20686,1.01,47.46,54.76,0.16,3.5,C
20687,0.48,481.86,74.7,0.68,-13.7,C-
20688,7.07,91.97,43.39,1.06,2.4,C
20689,5.467,17.176,27.155,0.384,33.473,C+
20690,5.246,26.895,44.084,-0.063,53.006,C
20691,0.41,380.67,45.51,-0.03,-4.93,C
